Name,Position,Spiele,Tore,Tore pro spiel
Samir Ibrahim,Abwehr,19,1,0.05263
Michael Schj”nberg,Abwehr,15,6,0.40000
Janos Hrutka,Abwehr,12,1,0.08333
Oliver Sch„fer,Abwehr,8,0,0.00000
Ciriaco Sforza,Mittelfeld,32,0,0.00000
Michael Ballack,Mittelfeld,30,4,0.13333
Thomas Riedl,Mittelfeld,29,0,0.00000
Andreas Buck,Mittelfeld,23,2,0.08696
E. Rodrigues Ratinho,Mittelfeld,21,2,0.09524
Martin Wagner,Mittelfeld,21,1,0.04762
Marian Hristov,Mittelfeld,19,3,0.15789
Pascal Ojigwe,Mittelfeld,4,0,0.00000
Jrgen Rische,Angriff,29,3,0.10345
Olaf Marschall,Angriff,28,12,0.42857
Uwe R”sler,Angriff,28,8,0.28571
Marco Reich,Angriff,27,3,0.11111
Carlos de Jesus Junior,Angriff,8,0,0.00000
Daniel Graf,Angriff,2,0,0.00000
Robert Enke,Torwart,32,0,0.00000
Thorsten Albustin,Torwart,2,0,0.00000
Sladan Asanin,Abwehr,31,3,0.09677
Patrik Andersson,Abwehr,28,0,0.00000
Michael Klinkert,Abwehr,24,3,0.12500
Michael Frontzeck,Abwehr,15,1,0.06667
Max Eberl,Abwehr,15,0,0.00000
Stephan Paálack,Abwehr,14,1,0.07143
Markus Reiter,Abwehr,10,0,0.00000
Thomas Eichin,Abwehr,4,0,0.00000
Marcel Ketelaer,Mittelfeld,26,1,0.03846
Martin Schneider,Mittelfeld,25,0,0.00000
Zeljko Sopic,Mittelfeld,23,2,0.08696
Karlheinz Pflipsen,Mittelfeld,21,3,0.14286
Matthias Hagner,Mittelfeld,18,2,0.11111
Sebastian Deisler,Mittelfeld,17,1,0.05882
Markus Hausweiler,Mittelfeld,16,2,0.12500
Peter Wynhoff,Mittelfeld,12,0,0.00000
Chiquinho,Mittelfeld,7,1,0.14286
Chrissovalantis Anagnostou,Mittelfeld,5,0,0.00000
Toni Polster,Angriff,31,11,0.35484
Marcel Witeczek,Angriff,31,2,0.06452
J”rgen Pettersson,Angriff,27,6,0.22222
Markus Feldhoff,Angriff,18,1,0.05556
Marco Villa,Angriff,7,1,0.14286
Berkant G”ktan,Angriff,5,0,0.00000
Oliver Reck,Torwart,18,0,0.00000
Mathias Schober,Torwart,14,0,0.00000
Fr“de Grod†s,Torwart,2,0,0.00000
Yves Eigenrauch,Abwehr,22,0,0.00000
Nico van Kerckhoven,Abwehr,22,1,0.04545
Hami Mandirali,Abwehr,22,3,0.13636
Johan de Kock,Abwehr,20,1,0.05000
Olaf Thon,Abwehr,16,2,0.12500
Mark Schierenberg,Abwehr,1,0,0.00000
Michael Bskens,Mittelfeld,27,2,0.07407
Andreas Mller,Mittelfeld,27,1,0.03704
Jiri Nemec,Mittelfeld,27,2,0.07407
Marco van Hoogdalem,Mittelfeld,25,1,0.04000
Oliver Held,Mittelfeld,21,2,0.09524
Sven Kmetsch,Mittelfeld,18,2,0.11111
Filip Tapalovic,Mittelfeld,18,0,0.00000
Ingo Anderbrgge,Mittelfeld,16,0,0.00000
Radoslav Latal,Mittelfeld,16,0,0.00000
šnal Alpugan,Mittelfeld,15,1,0.06667
Marc Wilmots,Mittelfeld,12,1,0.08333
Denis Klujew,Mittelfeld,3,0,0.00000
Markus Kaya,Mittelfeld,1,0,0.00000
Martin Max,Angriff,28,6,0.21429
Youri Mulder,Angriff,26,6,0.23077
Ren‚ Eijkelkamp,Angriff,15,5,0.33333
Sascha Wolf,Angriff,14,3,0.21429
Michael Goossens,Angriff,12,1,0.08333
Miguel Francisco Pereira,Angriff,5,0,0.00000
Franz Wohlfahrt,Torwart,26,0,0.00000
Marc Ziegler,Torwart,9,0,0.00000
Eberhard Trautner,Torwart,1,0,0.00000
Frank Verlaat,Abwehr,29,0,0.00000
Jens Keller,Abwehr,24,1,0.04167
Thomas Berthold,Abwehr,22,0,0.00000
Thomas Schneider,Abwehr,12,1,0.08333
Martin Spanring,Abwehr,12,0,0.00000
Jochen Endress,Abwehr,11,0,0.00000
Thomas Kies,Abwehr,3,1,0.33333
Thorsten Legat,Abwehr,1,0,0.00000
Krisztian Lisztes,Mittelfeld,31,2,0.06452
Zvonimir Soldo,Mittelfeld,29,1,0.03448
Pablo Thiam,Mittelfeld,27,2,0.07407
Michael Zeyer,Mittelfeld,26,0,0.00000
Krassimir Balakov,Mittelfeld,24,5,0.20833
Kristijan Djordjevic,Mittelfeld,23,2,0.08696
Bradley Carnell,Mittelfeld,20,2,0.10000
Timo Rost,Mittelfeld,16,1,0.06250
Gerhard Poschner,Mittelfeld,11,0,0.00000
Roberto Pinto,Mittelfeld,6,0,0.00000
Sasa Markovic,Mittelfeld,4,1,0.25000
Mitko Stojkovski,Mittelfeld,4,0,0.00000
Jonathan Akpoborie,Angriff,28,11,0.39286
Fredi Bobic,Angriff,28,8,0.28571
Sreto Ristic,Angriff,24,3,0.12500
Nico Frommer,Angriff,8,0,0.00000
Alexander Blessin,Angriff,7,0,0.00000
Kai Oswald,Angriff,5,0,0.00000
Ahmed Salah Hosny,Angriff,2,0,0.00000
Stefan Klos,Torwart,18,0,0.00000
Jens Lehmann,Torwart,13,0,0.00000
Wolfgang de Beer,Torwart,3,0,0.00000
Karsten Baumann,Abwehr,30,0,0.00000
Jrgen Kohler,Abwehr,29,2,0.06897
Alfred Nijhuis,Abwehr,27,4,0.14815
Wolfgang Feiersinger,Abwehr,11,0,0.00000
Julio Cesar,Abwehr,5,0,0.00000
Manfred Binz,Abwehr,1,0,0.00000
Andreas M”ller,Mittelfeld,30,7,0.23333
D‚d‚,Mittelfeld,29,0,0.00000
Lars Ricken,Mittelfeld,28,5,0.17857
Stefan Reuter,Mittelfeld,25,0,0.00000
Vladimir But,Mittelfeld,23,3,0.13043
Christian Nerlinger,Mittelfeld,23,1,0.04348
Thomas H„áler,Mittelfeld,18,2,0.11111
Miroslav Stevic,Mittelfeld,14,1,0.07143
Steffen Freund,Mittelfeld,13,0,0.00000
Thomas Hengen,Mittelfeld,13,0,0.00000
Knut Reinhardt,Mittelfeld,4,0,0.00000
St‚phane Chapuisat,Angriff,30,8,0.26667
Bachirou Salou,Angriff,25,5,0.20000
Sergej Barbarez,Angriff,22,4,0.18182
Heiko Herrlich,Angriff,21,6,0.28571
Ibrahim Tanko,Angriff,7,0,0.00000
Christian Timm,Angriff,5,0,0.00000
